_id,Id_NIL,NIL,Titolo di studio,Valori
99,13,Greco  ,Licenza di scuola media inferiore o di avviamento professionale,3239
100,14,Niguarda - Ca Granda ,Licenza di scuola media inferiore o di avviamento professionale,10295
101,15,Bicocca  ,Licenza di scuola media inferiore o di avviamento professionale,1299
102,16,Viale Monza  ,Licenza di scuola media inferiore o di avviamento professionale,6545
103,17,Adriano  ,Licenza di scuola media inferiore o di avviamento professionale,3426
104,18,Parco Lambro - Cimiano  ,Licenza di scuola media inferiore o di avviamento professionale,4451
105,19,Padova  ,Licenza di scuola media inferiore o di avviamento professionale,8479
106,20,Loreto  ,Licenza di scuola media inferiore o di avviamento professionale,9067
107,21,Buenos Aires - Venezia  ,Licenza di scuola media inferiore o di avviamento professionale,9413
108,22,Citt_tudi  ,Licenza di scuola media inferiore o di avviamento professionale,6861
109,23,Lambrate  ,Licenza di scuola media inferiore o di avviamento professionale,2250
110,24,Parco Forlanini - Ortica  ,Licenza di scuola media inferiore o di avviamento professionale,162
111,25,Corsica  ,Licenza di scuola media inferiore o di avviamento professionale,3497
112,26,XXII Marzo  ,Licenza di scuola media inferiore o di avviamento professionale,5318
113,27,Porta Romana  ,Licenza di scuola media inferiore o di avviamento professionale,2753
114,28,Umbria - Molise  ,Licenza di scuola media inferiore o di avviamento professionale,4865
115,29,Ortomercato  ,Licenza di scuola media inferiore o di avviamento professionale,1053
116,30,Mecenate  ,Licenza di scuola media inferiore o di avviamento professionale,4886
117,31,Parco Monlu Ponte Lambro  ,Licenza di scuola media inferiore o di avviamento professionale,1332
118,32,Triulzo Superiore  ,Licenza di scuola media inferiore o di avviamento professionale,375
119,33,Rogoredo  ,Licenza di scuola media inferiore o di avviamento professionale,1840
120,34,Chiaravalle  ,Licenza di scuola media inferiore o di avviamento professionale,299
121,35,Lodi - Corvetto  ,Licenza di scuola media inferiore o di avviamento professionale,8930
122,36,Scalo Romana  ,Licenza di scuola media inferiore o di avviamento professionale,2670
123,37,Ex OM - Morivione  ,Licenza di scuola media inferiore o di avviamento professionale,1478
124,38,Ripamonti  ,Licenza di scuola media inferiore o di avviamento professionale,2769
125,39,Quintosole  ,Licenza di scuola media inferiore o di avviamento professionale,365
126,40,Ronchetto delle Rane  ,Licenza di scuola media inferiore o di avviamento professionale,198
127,41,Gratosoglio - Ticinello  ,Licenza di scuola media inferiore o di avviamento professionale,5447
128,42,Stadera  ,Licenza di scuola media inferiore o di avviamento professionale,7112
129,43,Tibaldi  ,Licenza di scuola media inferiore o di avviamento professionale,2583
130,44,Navigli  ,Licenza di scuola media inferiore o di avviamento professionale,3114
131,45,S. Cristoforo  ,Licenza di scuola media inferiore o di avviamento professionale,3081
132,46,Barona  ,Licenza di scuola media inferiore o di avviamento professionale,5322
133,47,Cantalupa  ,Licenza di scuola media inferiore o di avviamento professionale,105
134,48,Ronchetto sul Naviglio  ,Licenza di scuola media inferiore o di avviamento professionale,3707
135,49,Giambellino  ,Licenza di scuola media inferiore o di avviamento professionale,7437
136,50,Tortona  ,Licenza di scuola media inferiore o di avviamento professionale,2257
137,51,Washington  ,Licenza di scuola media inferiore o di avviamento professionale,3726
138,52,Bande Nere  ,Licenza di scuola media inferiore o di avviamento professionale,9121
139,53,Lorenteggio  ,Licenza di scuola media inferiore o di avviamento professionale,3356
140,54,Muggiano  ,Licenza di scuola media inferiore o di avviamento professionale,712
141,55,Baggio  ,Licenza di scuola media inferiore o di avviamento professionale,8666
142,56,Forze Armate  ,Licenza di scuola media inferiore o di avviamento professionale,6592
143,57,Selinunte  ,Licenza di scuola media inferiore o di avviamento professionale,6197
144,58,De Angeli - Monte Rosa  ,Licenza di scuola media inferiore o di avviamento professionale,2943
145,59,Tre Torri  ,Licenza di scuola media inferiore o di avviamento professionale,196
146,60,S. Siro  ,Licenza di scuola media inferiore o di avviamento professionale,2321
147,61,Quarto Cagnino  ,Licenza di scuola media inferiore o di avviamento professionale,2459
148,62,Quinto Romano  ,Licenza di scuola media inferiore o di avviamento professionale,1419
149,63,Figino  ,Licenza di scuola media inferiore o di avviamento professionale,462
150,64,Trenno  ,Licenza di scuola media inferiore o di avviamento professionale,1032
151,65,Gallaratese  ,Licenza di scuola media inferiore o di avviamento professionale,9575
152,66,QT 8,Licenza di scuola media inferiore o di avviamento professionale,655
153,67,Portello  ,Licenza di scuola media inferiore o di avviamento professionale,1259
154,68,Pagano  ,Licenza di scuola media inferiore o di avviamento professionale,2097
155,69,Sarpi  ,Licenza di scuola media inferiore o di avviamento professionale,5205
156,70,Ghisolfa  ,Licenza di scuola media inferiore o di avviamento professionale,3315
157,71,Villapizzone  ,Licenza di scuola media inferiore o di avviamento professionale,10076
158,72,Maggiore - Musocco  ,Licenza di scuola media inferiore o di avviamento professionale,1228
159,73,Cascina Triulza - Expo  ,Licenza di scuola media inferiore o di avviamento professionale,125
160,74,Sacco  ,Licenza di scuola media inferiore o di avviamento professionale,44
161,75,Stephenson  ,Licenza di scuola media inferiore o di avviamento professionale,17
162,76,Quarto Oggiaro  ,Licenza di scuola media inferiore o di avviamento professionale,9885
163,77,Bovisa  ,Licenza di scuola media inferiore o di avviamento professionale,3018
164,78,Farini  ,Licenza di scuola media inferiore o di avviamento professionale,816
165,79,Dergano  ,Licenza di scuola media inferiore o di avviamento professionale,5210
166,80,Affori  ,Licenza di scuola media inferiore o di avviamento professionale,5730
167,81,Bovisasca  ,Licenza di scuola media inferiore o di avviamento professionale,1956
168,82,Comasina  ,Licenza di scuola media inferiore o di avviamento professionale,2896
169,83,Bruzzano  ,Licenza di scuola media inferiore o di avviamento professionale,3164
170,84,Parco Nord  ,Licenza di scuola media inferiore o di avviamento professionale,19
171,85,Parco delle Abbazie  ,Licenza di scuola media inferiore o di avviamento professionale,84
172,86,Parco dei Navigli  ,Licenza di scuola media inferiore o di avviamento professionale,73
173,87,Parco Agricolo Sud  ,Licenza di scuola media inferiore o di avviamento professionale,58
174,88,Parco Bosco in Citta'  ,Licenza di scuola media inferiore o di avviamento professionale,170
175,1,Duomo  ,Diploma di scuola secondaria superiore,3980
176,2,Brera  ,Diploma di scuola secondaria superiore,4758
177,3,Giardini Porta Venezia  ,Diploma di scuola secondaria superiore,32
178,4,Guastalla  ,Diploma di scuola secondaria superiore,3850
179,5,Vigentina  ,Diploma di scuola secondaria superiore,3506
180,6,Ticinese  ,Diploma di scuola secondaria superiore,5310
181,7,Magenta - S. Vittore  ,Diploma di scuola secondaria superiore,4479
182,9,Garibaldi Repubblica  ,Diploma di scuola secondaria superiore,1592
183,10,Centrale  ,Diploma di scuola secondaria superiore,4857
184,11,Isola  ,Diploma di scuola secondaria superiore,6061
185,12,Maciachini - Maggiolina  ,Diploma di scuola secondaria superiore,7745
186,13,Greco  ,Diploma di scuola secondaria superiore,4738
187,14,Niguarda - Ca Granda ,Diploma di scuola secondaria superiore,10656
188,15,Bicocca  ,Diploma di scuola secondaria superiore,2008
189,16,Viale Monza  ,Diploma di scuola secondaria superiore,8460
190,17,Adriano  ,Diploma di scuola secondaria superiore,4232
191,18,Parco Lambro - Cimiano  ,Diploma di scuola secondaria superiore,6061
192,19,Padova  ,Diploma di scuola secondaria superiore,9930
193,20,Loreto  ,Diploma di scuola secondaria superiore,11646
194,21,Buenos Aires - Venezia  ,Diploma di scuola secondaria superiore,17053
195,22,Citt_tudi  ,Diploma di scuola secondaria superiore,10577
196,23,Lambrate  ,Diploma di scuola secondaria superiore,3023
197,24,Parco Forlanini - Ortica  ,Diploma di scuola secondaria superiore,259
198,25,Corsica  ,Diploma di scuola secondaria superiore,5996
199,26,XXII Marzo  ,Diploma di scuola secondaria superiore,8656
200,27,Porta Romana  ,Diploma di scuola secondaria superiore,4412
201,28,Umbria - Molise  ,Diploma di scuola secondaria superiore,6405
202,29,Ortomercato  ,Diploma di scuola secondaria superiore,1019
203,30,Mecenate  ,Diploma di scuola secondaria superiore,5437
204,31,Parco Monlu Ponte Lambro  ,Diploma di scuola secondaria superiore,1083
205,32,Triulzo Superiore  ,Diploma di scuola secondaria superiore,428
206,33,Rogoredo  ,Diploma di scuola secondaria superiore,2653
207,34,Chiaravalle  ,Diploma di scuola secondaria superiore,353
208,35,Lodi - Corvetto  ,Diploma di scuola secondaria superiore,10103
209,36,Scalo Romana  ,Diploma di scuola secondaria superiore,2823
210,37,Ex OM - Morivione  ,Diploma di scuola secondaria superiore,1994
211,38,Ripamonti  ,Diploma di scuola secondaria superiore,4472
212,39,Quintosole  ,Diploma di scuola secondaria superiore,432
213,40,Ronchetto delle Rane  ,Diploma di scuola secondaria superiore,236
214,41,Gratosoglio - Ticinello  ,Diploma di scuola secondaria superiore,4817
215,42,Stadera  ,Diploma di scuola secondaria superiore,8289
216,43,Tibaldi  ,Diploma di scuola secondaria superiore,3298
217,44,Navigli  ,Diploma di scuola secondaria superiore,4446
218,45,S. Cristoforo  ,Diploma di scuola secondaria superiore,3717
219,46,Barona  ,Diploma di scuola secondaria superiore,4726
220,47,Cantalupa  ,Diploma di scuola secondaria superiore,157
221,48,Ronchetto sul Naviglio  ,Diploma di scuola secondaria superiore,4382
222,49,Giambellino  ,Diploma di scuola secondaria superiore,8983
